OBJECTID,FID_philly_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
11,11,420757,1.1.1.0,420757_106,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.003101490878137,0.000000177747947,18106.495261459585890
12,13,420757,1.1.1.0,420757_109,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.003422680821662,0.000000173898690,17714.470271721082099
13,15,420757,1.1.1.0,420757_111,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.000535390929731,0.000000005860025,596.941710794868186
14,16,420757,1.1.1.0,420757_113,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.009523328905264,0.000000568567454,57918.650081117455557
15,17,420757,1.1.1.0,420757_114,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.006948914148272,0.000000819170866,83446.828179649950471
16,73,420757,1.1.1.0,420757_239,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,11, ,B10,B,0.001475579447105,0.000000028073718,2863.231122108447380
17,73,420757,1.1.1.0,420757_239,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,35, ,C11,C,0.000979470233356,0.000000008692563,886.576448051584293
18,81,420757,1.1.1.0,420757_590,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,16, ,B15,B,0.001215482215639,0.000000069272001,7068.200981104466337
19,82,420757,1.1.1.0,420757_591,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,72, ,D7,D,0.009801658758465,0.000002175464142,221977.902427167893620
20,84,420757,1.1.1.0,420757_596,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,45, ,C6,C,0.016665523181877,0.000004047417103,413016.526766938273795
21,87,420757,1.1.1.0,420757_681,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,7, ,A8,A,0.014410745923417,0.000003581411684,365619.399704508425202
22,87,420757,1.1.1.0,420757_681,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,32, ,C,C,0.001662661019728,0.000000040781877,4163.508390190151658
23,90,420757,1.1.1.0,420757_668,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,23, ,B20,B,0.006146216338366,0.000000460158199,47007.480053853105346
24,90,420757,1.1.1.0,420757_668,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,61, ,D20,D,0.003674480633453,0.000000300872866,30722.625046462180762
25,90,420757,1.1.1.0,420757_668,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,63, ,D22,D,0.020927370129230,0.000003661866408,374205.048320230620448
26,102,420757,1.1.1.0,420757_268,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,3, ,A4,A,0.011724525946794,0.000005436336186,554075.397469390300103
27,106,420757,1.1.1.0,420757_275,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,3, ,A4,A,0.019374278908542,0.000009993139614,1018542.642111791763455
28,106,420757,1.1.1.0,420757_275,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,80, ,E6,B,0.015343439456762,0.000001451878600,147996.474640548374737
29,113,420757,1.1.1.0,420757_287,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,80, ,E6,B,0.002816398000966,0.000000148139926,15100.081701501947464
30,116,420757,1.1.1.0,420757_294,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,3, ,A4,A,0.005822513870539,0.000000501782544,51146.012749455614539
31,122,420757,1.1.1.0,420757_309,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,80, ,E6,B,0.004527317385340,0.000000141351739,14408.427196495746102
