OBJECTID,FID_houston_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
106,3506,48201C,1.1.1.0,48201C_8786,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY3,38, , ,C,0.015805313297375,0.000001896407252,219216.341099462850252
107,3508,48201C,1.1.1.0,48201C_8788,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,36, , ,D,0.040538206008195,0.000016405074989,1896384.289802931947634
108,3908,48201C,1.1.1.0,48201C_9718,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,33, , ,C,0.004501435379434,0.000000439233546,50778.555583847424714
109,3908,48201C,1.1.1.0,48201C_9718,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,36, , ,D,0.009879477060640,0.000003080426647,356102.863063419470564
110,3952,48201C,1.1.1.0,48201C_9779,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,31, , ,D,0.010525605923390,0.000006542770934,756416.758134687202983
111,3952,48201C,1.1.1.0,48201C_9779,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,33, , ,C,0.042303062553241,0.000020816913451,2406662.540172110311687
112,3952,48201C,1.1.1.0,48201C_9779,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,36, , ,D,0.009748507523182,0.000004594650174,531149.736853705835529
113,4015,48201C,1.1.1.0,48201C_9884,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,9, , ,A,0.000179912325964,0.000000001246583,144.220597236075889
114,4015,48201C,1.1.1.0,48201C_9884,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,14, , ,A,0.031156596116245,0.000017587802913,2034663.536267379764467
115,4027,48201C,2.3.3.3,48201C_9901,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_FIRM1,11, , ,C,0.021926682391398,0.000004000135284,462720.864295933628455
116,4029,48201C,2.3.3.3,48201C_9903,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.067940177832937,0.000015216632140,1760764.137877357890829
117,4030,48201C,2.3.3.3,48201C_9904,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,10, , ,C,0.003483531146729,0.000000116433203,13469.474144183837780
118,4032,48201C,2.3.3.3,48201C_9906,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.024280919899885,0.000003719240172,430356.943979326286353
119,4032,48201C,2.3.3.3,48201C_9906,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,1, , ,C,0.058530582234487,0.000043691122442,5055446.474958883598447
120,4159,48201C,1.1.1.0,48201C_10181,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_LOMC132,25, , ,B,0.000124358152899,0.000000000232185,26.850588527569712
121,4160,48201C,1.1.1.0,48201C_10183,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_LOMC132,29, , ,D,0.014860548136175,0.000005257459777,607974.827418331871741
122,4161,48201C,1.1.1.0,48201C_10185,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_LOMC132,29, , ,D,0.007207314543683,0.000002001019541,231400.306411596655380
123,4163,48201C,1.1.1.0,48201C_10191,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,26, , ,D,0.012385541618939,0.000001907191113,220552.860082625033101
124,4163,48201C,1.1.1.0,48201C_10191,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,27, , ,A,0.014616060049173,0.000002749350672,317944.559068983478937
125,4164,48201C,1.1.1.0,48201C_10192,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_FIRM1,26, , ,D,0.007878172131861,0.000001832338949,211895.691896785225254
126,4164,48201C,1.1.1.0,48201C_10192,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_FIRM1,27, , ,A,0.009075411509015,0.000002353016398,272109.761068323859945
127,4164,48201C,1.1.1.0,48201C_10192,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_FIRM1,29, , ,D,0.002041276486303,0.000000087981690,10174.420698799018282
128,4165,48201C,1.1.1.0,48201C_10193,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_FIRM1,29, , ,D,0.002452094312183,0.000000390626610,45172.852359606898972
129,4166,48201C,1.1.1.0,48201C_10194,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,29, , ,D,0.001384921327306,0.000000100405892,11611.100076445136438
130,4167,48201C,1.1.1.0,48201C_10195,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,29, , ,D,0.009112627782870,0.000001738594388,201049.368603839306161
